"run_id";"run_date";"run_time";"run_datetime";"day_of_year";"simulation_profile_id";"simulation_profile";"collection_start_hour";"collection_interval_s";"standby_zero_limit_readings";"irradiance_min_w_m2";"location_mode";"host_speed_gflops_configured";"host_power_active_w";"host_power_idle_w";"host_power_off_w";"git_auto_push";"git_remote";"git_branch";"git_repo_url";"city";"latitude";"longitude";"panel_material";"panel_face_type";"panel_area_m2";"panel_base_efficiency";"panel_material_factor";"panel_effective_base_efficiency";"panel_bifacial_gain_configured";"panel_face_gain_applied";"cloud_cover_pct";"rain_mm";"temperature_c";"wind_speed_kmh";"irradiance_theoretical_w_m2";"irradiance_adjusted_w_m2";"pv_efficiency";"pv_power_kw";"grid_carbon_intensity_gco2_kwh";"dc_active_servers";"dc_pue";"dc_network_kw";"dc_storage_kw";"dc_it_compute_kwh";"dc_it_support_kwh";"dc_it_total_kwh";"dc_facility_overhead_kwh";"dc_facility_total_kwh";"job_flops";"job_duration_s";"job_energy_j";"job_energy_kwh";"job_average_power_kw";"energy_total_kwh";"energy_pv_kwh";"energy_grid_kwh";"co2_g";"co2_without_pv_g";"co2_avoided_by_pv_g";"source_mode";"photovoltaic_status";"grid_status"
"run_20260923_105548";"2026-09-23";"10:55:48";"2026-09-23 10:55:48";"266";"hpc_extreme";"HPC - Extremo";"6";"60";"5";"1";"manual";"5000";"1800";"600";"30";"1";"origin";"main";"git@github.com:CAGDOJ/PhotovoltaicFirst.git";"Belem";"-1.4537";"-48.5078";"monocrystalline";"bifacial";"30000";"0.24";"1";"0.24";"1.2";"1.2";"96";"0";"31.6";"5.4";"960.039";"268.811";"0.280654";"2263.28";"100";"1024";"1.25";"150";"75";"102.4";"12.5";"114.9";"28.725";"143.625";"1e+15";"200";"360000";"0.1";"1.8";"143.625";"125.738";"17.8871";"1788.71";"14362.5";"12573.8";"PHOTOVOLTAIC+GRID";"ON";"ON"
"run_20260923_105548";"2026-09-23";"10:55:48";"2026-09-23 10:55:48";"266";"hpc_extreme";"HPC - Extremo";"6";"60";"5";"1";"manual";"5000";"1800";"600";"30";"1";"origin";"main";"git@github.com:CAGDOJ/PhotovoltaicFirst.git";"Belem";"-1.4537";"-48.5078";"monocrystalline";"bifacial";"30000";"0.24";"1";"0.24";"1.2";"1.2";"96";"0";"31.6";"5.4";"960.039";"268.811";"0.280654";"2263.28";"100";"1024";"1.25";"150";"75";"102.4";"12.5";"114.9";"28.725";"143.625";"1e+15";"200";"360000";"0.1";"1.8";"143.625";"125.738";"17.8871";"1788.71";"14362.5";"12573.8";"PHOTOVOLTAIC+GRID";"ON";"ON"
"run_20260923_105717";"2026-09-23";"10:57:17";"2026-09-23 10:57:17";"266";"hpc_extreme";"HPC - Extremo";"6";"60";"5";"1";"manual";"5000";"1800";"600";"30";"1";"origin";"main";"git@github.com:CAGDOJ/PhotovoltaicFirst.git";"Belem";"-1.4537";"-48.5078";"monocrystalline";"bifacial";"30000";"0.24";"1";"0.24";"1.2";"1.2";"96";"0";"31.6";"5.4";"962.443";"269.484";"0.280654";"2268.95";"100";"1024";"1.25";"150";"75";"102.4";"12.5";"114.9";"28.725";"143.625";"1e+15";"200";"360000";"0.1";"1.8";"143.625";"126.053";"17.5722";"1757.22";"14362.5";"12605.3";"PHOTOVOLTAIC+GRID";"ON";"ON"
"run_20260923_105719";"2026-09-23";"10:57:19";"2026-09-23 10:57:19";"266";"hpc_extreme";"HPC - Extremo";"6";"60";"5";"1";"manual";"5000";"1800";"600";"30";"1";"origin";"main";"git@github.com:CAGDOJ/PhotovoltaicFirst.git";"Belem";"-1.4537";"-48.5078";"monocrystalline";"bifacial";"30000";"0.24";"1";"0.24";"1.2";"1.2";"96";"0";"31.6";"5.4";"962.443";"269.484";"0.280654";"2268.95";"100";"1024";"1.25";"150";"75";"102.4";"12.5";"114.9";"28.725";"143.625";"1e+15";"200";"360000";"0.1";"1.8";"143.625";"126.053";"17.5722";"1757.22";"14362.5";"12605.3";"PHOTOVOLTAIC+GRID";"ON";"ON"
"run_20260923_105843";"2026-09-23";"10:58:43";"2026-09-23 10:58:43";"266";"hpc_extreme";"HPC - Extremo";"6";"60";"5";"1";"manual";"5000";"1800";"600";"30";"1";"origin";"main";"git@github.com:CAGDOJ/PhotovoltaicFirst.git";"Belem";"-1.4537";"-48.5078";"monocrystalline";"bifacial";"30000";"0.24";"1";"0.24";"1.2";"1.2";"96";"0";"31.6";"5.4";"963.618";"269.813";"0.280654";"2271.72";"100";"1024";"1.25";"150";"75";"102.4";"12.5";"114.9";"28.725";"143.625";"1e+15";"200";"360000";"0.1";"1.8";"143.625";"126.207";"17.4184";"1741.84";"14362.5";"12620.7";"PHOTOVOLTAIC+GRID";"ON";"ON"
"run_20260923_105846";"2026-09-23";"10:58:46";"2026-09-23 10:58:46";"266";"hpc_extreme";"HPC - Extremo";"6";"60";"5";"1";"manual";"5000";"1800";"600";"30";"1";"origin";"main";"git@github.com:CAGDOJ/PhotovoltaicFirst.git";"Belem";"-1.4537";"-48.5078";"monocrystalline";"bifacial";"30000";"0.24";"1";"0.24";"1.2";"1.2";"96";"0";"31.6";"5.4";"963.618";"269.813";"0.280654";"2271.72";"100";"1024";"1.25";"150";"75";"102.4";"12.5";"114.9";"28.725";"143.625";"1e+15";"200";"360000";"0.1";"1.8";"143.625";"126.207";"17.4184";"1741.84";"14362.5";"12620.7";"PHOTOVOLTAIC+GRID";"ON";"ON"
"run_20260923_110013";"2026-09-23";"11:00:13";"2026-09-23 11:00:13";"266";"hpc_extreme";"HPC - Extremo";"6";"60";"5";"1";"manual";"5000";"1800";"600";"30";"1";"origin";"main";"git@github.com:CAGDOJ/PhotovoltaicFirst.git";"Belem";"-1.4537";"-48.5078";"monocrystalline";"bifacial";"30000";"0.24";"1";"0.24";"1.2";"1.2";"99";"0";"31.8";"4.8";"965.912";"248.722";"0.280259";"2091.2";"100";"1024";"1.25";"150";"75";"102.4";"12.5";"114.9";"28.725";"143.625";"1e+15";"200";"360000";"0.1";"1.8";"143.625";"116.178";"27.4471";"2744.71";"14362.5";"11617.8";"PHOTOVOLTAIC+GRID";"ON";"ON"
"run_20260923_110010";"2026-09-23";"11:00:10";"2026-09-23 11:00:10";"266";"hpc_extreme";"HPC - Extremo";"6";"60";"5";"1";"manual";"5000";"1800";"600";"30";"1";"origin";"main";"git@github.com:CAGDOJ/PhotovoltaicFirst.git";"Belem";"-1.4537";"-48.5078";"monocrystalline";"bifacial";"30000";"0.24";"1";"0.24";"1.2";"1.2";"99";"0";"31.8";"4.8";"965.912";"248.722";"0.280259";"2091.2";"100";"1024";"1.25";"150";"75";"102.4";"12.5";"114.9";"28.725";"143.625";"1e+15";"200";"360000";"0.1";"1.8";"143.625";"116.178";"27.4471";"2744.71";"14362.5";"11617.8";"PHOTOVOLTAIC+GRID";"ON";"ON"
"run_20260923_110208";"2026-09-23";"11:02:08";"2026-09-23 11:02:08";"266";"hpc_extreme";"HPC - Extremo";"6";"60";"5";"1";"manual";"5000";"1800";"600";"30";"1";"origin";"main";"git@github.com:CAGDOJ/PhotovoltaicFirst.git";"Belem";"-1.4537";"-48.5078";"monocrystalline";"bifacial";"30000";"0.24";"1";"0.24";"1.2";"1.2";"99";"0";"31.8";"4.8";"968.133";"249.294";"0.280259";"2096.01";"100";"1024";"1.25";"150";"75";"102.4";"12.5";"114.9";"28.725";"143.625";"1e+15";"200";"360000";"0.1";"1.8";"143.625";"116.445";"27.18";"2718";"14362.5";"11644.5";"PHOTOVOLTAIC+GRID";"ON";"ON"
"run_20260923_110155";"2026-09-23";"11:01:55";"2026-09-23 11:01:55";"266";"hpc_extreme";"HPC - Extremo";"6";"60";"5";"1";"manual";"5000";"1800";"600";"30";"1";"origin";"main";"git@github.com:CAGDOJ/PhotovoltaicFirst.git";"Belem";"-1.4537";"-48.5078";"monocrystalline";"bifacial";"30000";"0.24";"1";"0.24";"1.2";"1.2";"99";"0";"31.8";"4.8";"967.032";"249.011";"0.280259";"2093.63";"100";"1024";"1.25";"150";"75";"102.4";"12.5";"114.9";"28.725";"143.625";"1e+15";"200";"360000";"0.1";"1.8";"143.625";"116.313";"27.3124";"2731.24";"14362.5";"11631.3";"PHOTOVOLTAIC+GRID";"ON";"ON"
