"run_id";"run_date";"run_time";"run_datetime";"day_of_year";"simulation_profile_id";"simulation_profile";"collection_start_hour";"collection_interval_s";"standby_zero_limit_readings";"irradiance_min_w_m2";"location_mode";"host_speed_gflops_configured";"host_power_active_w";"host_power_idle_w";"host_power_off_w";"git_auto_push";"git_remote";"git_branch";"git_repo_url";"city";"latitude";"longitude";"panel_material";"panel_face_type";"panel_area_m2";"panel_base_efficiency";"panel_material_factor";"panel_effective_base_efficiency";"panel_bifacial_gain_configured";"panel_face_gain_applied";"cloud_cover_pct";"rain_mm";"temperature_c";"wind_speed_kmh";"irradiance_theoretical_w_m2";"irradiance_adjusted_w_m2";"pv_efficiency";"pv_power_kw";"grid_carbon_intensity_gco2_kwh";"dc_active_servers";"dc_pue";"dc_network_kw";"dc_storage_kw";"dc_it_compute_kwh";"dc_it_support_kwh";"dc_it_total_kwh";"dc_facility_overhead_kwh";"dc_facility_total_kwh";"job_flops";"job_duration_s";"job_energy_j";"job_energy_kwh";"job_average_power_kw";"energy_total_kwh";"energy_pv_kwh";"energy_grid_kwh";"co2_g";"co2_without_pv_g";"co2_avoided_by_pv_g";"source_mode";"photovoltaic_status";"grid_status"
"run_20260922_153340";"2026-09-22";"15:33:40";"2026-09-22 15:33:40";"265";"datacenter_high";"Data Center - Alta Carga";"6";"60";"5";"1";"manual";"1000";"750";"300";"20";"1";"origin";"main";"git@github.com:CAGDOJ/PhotovoltaicFirst.git";"Belem";"-1.4537";"-48.5078";"monocrystalline";"bifacial";"2500";"0.23";"1";"0.23";"1.15";"1.15";"22";"0";"30";"12.7";"598.367";"499.636";"0.261176";"326.232";"100";"128";"1.4";"20";"10";"1.33333";"0.416667";"1.75";"0.7";"2.45";"5e+13";"50";"37500";"0.0104167";"0.75";"2.45";"2.45";"0";"0";"245";"245";"PHOTOVOLTAIC";"ON";"OFF"
"run_20260922_153610";"2026-09-22";"15:36:10";"2026-09-22 15:36:10";"265";"datacenter_high";"Data Center - Alta Carga";"6";"60";"5";"1";"manual";"1000";"750";"300";"20";"1";"origin";"main";"git@github.com:CAGDOJ/PhotovoltaicFirst.git";"Belem";"-1.4537";"-48.5078";"monocrystalline";"bifacial";"2500";"0.23";"1";"0.23";"1.15";"1.15";"22";"0";"30";"12.7";"587.831";"490.839";"0.261176";"320.488";"100";"128";"1.4";"20";"10";"1.33333";"0.416667";"1.75";"0.7";"2.45";"5e+13";"50";"37500";"0.0104167";"0.75";"2.45";"2.45";"0";"0";"245";"245";"PHOTOVOLTAIC";"ON";"OFF"
"run_20260922_153757";"2026-09-22";"15:37:57";"2026-09-22 15:37:57";"265";"datacenter_high";"Data Center - Alta Carga";"6";"60";"5";"1";"manual";"1000";"750";"300";"20";"1";"origin";"main";"git@github.com:CAGDOJ/PhotovoltaicFirst.git";"Belem";"-1.4537";"-48.5078";"monocrystalline";"bifacial";"2500";"0.23";"1";"0.23";"1.15";"1.15";"22";"0";"30";"12.7";"584.297";"487.888";"0.261176";"318.561";"100";"128";"1.4";"20";"10";"1.33333";"0.416667";"1.75";"0.7";"2.45";"5e+13";"50";"37500";"0.0104167";"0.75";"2.45";"2.45";"0";"0";"245";"245";"PHOTOVOLTAIC";"ON";"OFF"
"run_20260922_153839";"2026-09-22";"15:38:39";"2026-09-22 15:38:39";"265";"datacenter_high";"Data Center - Alta Carga";"6";"60";"5";"1";"manual";"1000";"750";"300";"20";"1";"origin";"main";"git@github.com:CAGDOJ/PhotovoltaicFirst.git";"Belem";"-1.4537";"-48.5078";"monocrystalline";"bifacial";"2500";"0.23";"1";"0.23";"1.15";"1.15";"22";"0";"30";"12.7";"580.752";"484.928";"0.261176";"316.628";"100";"128";"1.4";"20";"10";"1.33333";"0.416667";"1.75";"0.7";"2.45";"5e+13";"50";"37500";"0.0104167";"0.75";"2.45";"2.45";"0";"0";"245";"245";"PHOTOVOLTAIC";"ON";"OFF"
"run_20260922_153849";"2026-09-22";"15:38:49";"2026-09-22 15:38:49";"265";"datacenter_high";"Data Center - Alta Carga";"6";"60";"5";"1";"manual";"1000";"750";"300";"20";"1";"origin";"main";"git@github.com:CAGDOJ/PhotovoltaicFirst.git";"Belem";"-1.4537";"-48.5078";"monocrystalline";"bifacial";"2500";"0.23";"1";"0.23";"1.15";"1.15";"22";"0";"30";"12.7";"580.752";"484.928";"0.261176";"316.628";"100";"128";"1.4";"20";"10";"1.33333";"0.416667";"1.75";"0.7";"2.45";"5e+13";"50";"37500";"0.0104167";"0.75";"2.45";"2.45";"0";"0";"245";"245";"PHOTOVOLTAIC";"ON";"OFF"
"run_20260922_154006";"2026-09-22";"15:40:06";"2026-09-22 15:40:06";"265";"datacenter_high";"Data Center - Alta Carga";"6";"60";"5";"1";"manual";"1000";"750";"300";"20";"1";"origin";"main";"git@github.com:CAGDOJ/PhotovoltaicFirst.git";"Belem";"-1.4537";"-48.5078";"monocrystalline";"bifacial";"2500";"0.23";"1";"0.23";"1.15";"1.15";"22";"0";"30";"12.7";"573.628";"478.979";"0.261176";"312.744";"100";"128";"1.4";"20";"10";"1.33333";"0.416667";"1.75";"0.7";"2.45";"5e+13";"50";"37500";"0.0104167";"0.75";"2.45";"2.45";"0";"0";"245";"245";"PHOTOVOLTAIC";"ON";"OFF"
"run_20260922_154030";"2026-09-22";"15:40:30";"2026-09-22 15:40:30";"265";"datacenter_high";"Data Center - Alta Carga";"6";"60";"5";"1";"manual";"1000";"750";"300";"20";"1";"origin";"main";"git@github.com:CAGDOJ/PhotovoltaicFirst.git";"Belem";"-1.4537";"-48.5078";"monocrystalline";"bifacial";"2500";"0.23";"1";"0.23";"1.15";"1.15";"22";"0";"30";"12.7";"573.628";"478.979";"0.261176";"312.744";"100";"128";"1.4";"20";"10";"1.33333";"0.416667";"1.75";"0.7";"2.45";"5e+13";"50";"37500";"0.0104167";"0.75";"2.45";"2.45";"0";"0";"245";"245";"PHOTOVOLTAIC";"ON";"OFF"
"run_20260922_154103";"2026-09-22";"15:41:03";"2026-09-22 15:41:03";"265";"datacenter_high";"Data Center - Alta Carga";"6";"60";"5";"1";"manual";"1000";"750";"300";"20";"1";"origin";"main";"git@github.com:CAGDOJ/PhotovoltaicFirst.git";"Belem";"-1.4537";"-48.5078";"monocrystalline";"bifacial";"2500";"0.23";"1";"0.23";"1.15";"1.15";"22";"0";"30";"12.7";"570.05";"475.991";"0.261176";"310.793";"100";"128";"1.4";"20";"10";"1.33333";"0.416667";"1.75";"0.7";"2.45";"5e+13";"50";"37500";"0.0104167";"0.75";"2.45";"2.45";"0";"0";"245";"245";"PHOTOVOLTAIC";"ON";"OFF"
"run_20260922_154226";"2026-09-22";"15:42:26";"2026-09-22 15:42:26";"265";"datacenter_high";"Data Center - Alta Carga";"6";"60";"5";"1";"manual";"1000";"750";"300";"20";"1";"origin";"main";"git@github.com:CAGDOJ/PhotovoltaicFirst.git";"Belem";"-1.4537";"-48.5078";"monocrystalline";"bifacial";"2500";"0.23";"1";"0.23";"1.15";"1.15";"22";"0";"30";"12.7";"566.46";"472.994";"0.261176";"308.837";"100";"128";"1.4";"20";"10";"1.33333";"0.416667";"1.75";"0.7";"2.45";"5e+13";"50";"37500";"0.0104167";"0.75";"2.45";"2.45";"0";"0";"245";"245";"PHOTOVOLTAIC";"ON";"OFF"
"run_20260922_154228";"2026-09-22";"15:42:28";"2026-09-22 15:42:28";"265";"datacenter_high";"Data Center - Alta Carga";"6";"60";"5";"1";"manual";"1000";"750";"300";"20";"1";"origin";"main";"git@github.com:CAGDOJ/PhotovoltaicFirst.git";"Belem";"-1.4537";"-48.5078";"monocrystalline";"bifacial";"2500";"0.23";"1";"0.23";"1.15";"1.15";"22";"0";"30";"12.7";"566.46";"472.994";"0.261176";"308.837";"100";"128";"1.4";"20";"10";"1.33333";"0.416667";"1.75";"0.7";"2.45";"5e+13";"50";"37500";"0.0104167";"0.75";"2.45";"2.45";"0";"0";"245";"245";"PHOTOVOLTAIC";"ON";"OFF"
