run_id;run_date;run_time;run_datetime;day_of_year;city;latitude;longitude;panel_material;panel_face_type;panel_area_m2;panel_base_efficiency;panel_material_factor;panel_effective_base_efficiency;panel_bifacial_gain_factor;cloud_cover_pct;rain_mm;temperature_c;wind_speed_kmh;irradiance_theoretical_w_m2;irradiance_adjusted_w_m2;pv_efficiency;pv_power_kw;grid_carbon_intensity_gco2_kwh;job_flops;job_duration_s;job_energy_j;job_energy_kwh;job_average_power_kw;energy_total_kwh;energy_pv_kwh;energy_grid_kwh;co2_g
run_20260619_060310;2026-06-19;06:03:10;2026-06-19 06:03:10;170;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;2;0;23.3;4.2;1.91776;1.889;0.200672;0.00379069;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;1.05297e-06;6.83915e-05;0.00683915
run_20260619_060415;2026-06-19;06:04:15;2026-06-19 06:04:15;170;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;2;0;23.3;4.2;5.91948;5.83069;0.200672;0.0117006;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;3.25016e-06;6.61943e-05;0.00661943
run_20260619_060521;2026-06-19;06:05:21;2026-06-19 06:05:21;170;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;2;0;23.3;4.2;9.9209;9.77209;0.200672;0.0196098;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;5.44718e-06;6.39973e-05;0.00639973
run_20260619_060626;2026-06-19;06:06:26;2026-06-19 06:06:26;170;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;2;0;23.3;4.2;13.9219;13.7131;0.200672;0.0275184;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;7.64399e-06;6.18005e-05;0.00618005
run_20260619_060730;2026-06-19;06:07:30;2026-06-19 06:07:30;170;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;2;0;23.3;4.2;17.9225;17.6537;0.200672;0.035426;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;9.84055e-06;5.96039e-05;0.00596039
run_20260619_060835;2026-06-19;06:08:35;2026-06-19 06:08:35;170;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;2;0;23.3;4.2;21.9226;21.5937;0.200672;0.0433325;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;1.20368e-05;5.74076e-05;0.00574076
run_20260619_060941;2026-06-19;06:09:41;2026-06-19 06:09:41;170;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;2;0;23.3;4.2;25.922;25.5332;0.200672;0.0512379;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;1.42328e-05;5.52117e-05;0.00552117
run_20260619_061046;2026-06-19;06:10:46;2026-06-19 06:10:46;170;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;2;0;23.3;4.2;29.9207;29.4719;0.200672;0.0591419;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;1.64283e-05;5.30161e-05;0.00530161
run_20260619_061152;2026-06-19;06:11:52;2026-06-19 06:11:52;170;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;2;0;23.3;4.2;33.9187;33.4099;0.200672;0.0670444;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;1.86234e-05;5.0821e-05;0.0050821
run_20260619_061258;2026-06-19;06:12:58;2026-06-19 06:12:58;170;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;2;0;23.3;4.2;37.9159;37.3471;0.200672;0.0749453;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;2.08181e-05;4.86263e-05;0.00486263
run_20260619_061404;2026-06-19;06:14:04;2026-06-19 06:14:04;170;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;2;0;23.3;4.2;45.9074;45.2188;0.200672;0.0907414;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;2.52059e-05;4.42385e-05;0.00442385
run_20260619_061511;2026-06-19;06:15:11;2026-06-19 06:15:11;170;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;1;0;23.4;4.6;49.9015;49.5273;0.200736;0.0994191;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;2.76164e-05;4.1828e-05;0.0041828
